premise,hypothesis,label
"Worked extensively with Cypress in several projects.","Knows Cypress",entailment
"Worked extensively with OAuth2 in several projects.","Knows OAuth2",entailment
"Worked extensively with Selenium in several projects.","Knows Selenium",entailment
"Worked extensively with Tailwind CSS in several projects.","Has no knowledge of Tailwind CSS",contradiction
"Worked extensively with JavaScript in several projects.","Has no knowledge of JavaScript",contradiction
"Worked extensively with XGBoost in several projects.","Knows XGBoost",entailment
"Worked extensively with JWT in several projects.","Knows JWT",neutral
"Worked extensively with XGBoost in several projects.","Has no knowledge of XGBoost",contradiction
"Worked extensively with Metasploit in several projects.","Has no knowledge of Metasploit",contradiction
"Worked extensively with Apache Spark in several projects.","Knows Apache Spark",entailment
"Worked extensively with Rust in several projects.","Has no knowledge of Rust",contradiction
"Worked extensively with Metasploit in several projects.","Has no knowledge of Metasploit",contradiction
"Worked extensively with OWASP ZAP in several projects.","Knows OWASP ZAP",neutral
"Worked extensively with XGBoost in several projects.","Knows XGBoost",entailment
"Worked extensively with FastAPI in several projects.","Has no knowledge of FastAPI",contradiction
"Worked extensively with Flutter in several projects.","Has no knowledge of Flutter",contradiction
"Worked extensively with Scikit-learn in several projects.","Has no knowledge of Scikit-learn",contradiction
"Worked extensively with Selenium in several projects.","Has no knowledge of Selenium",contradiction
"Worked extensively with Java in several projects.","Has no knowledge of Java",contradiction
"Worked extensively with React in several projects.","Has no knowledge of React",contradiction
"Worked extensively with Docker in several projects.","Knows Docker",neutral
"Worked extensively with TensorFlow in several projects.","Has no knowledge of TensorFlow",contradiction
"Worked extensively with Express.js in several projects.","Knows Express.js",neutral
"Worked extensively with Xcode in several projects.","Has no knowledge of Xcode",contradiction
"Worked extensively with OAuth2 in several projects.","Knows OAuth2",neutral
"Worked extensively with Tailwind CSS in several projects.","Knows Tailwind CSS",entailment
"Worked extensively with TensorFlow in several projects.","Knows TensorFlow",entailment
"Worked extensively with XGBoost in several projects.","Knows XGBoost",neutral
"Worked extensively with Sass in several projects.","Knows Sass",entailment
"Worked extensively with Docker in several projects.","Has no knowledge of Docker",contradiction
"Worked extensively with Cypress in several projects.","Has no knowledge of Cypress",contradiction
"Worked extensively with Vue.js in several projects.","Has no knowledge of Vue.js",contradiction
"Worked extensively with NestJS in several projects.","Knows NestJS",neutral
"Worked extensively with OAuth2 in several projects.","Knows OAuth2",entailment
"Worked extensively with TypeScript in several projects.","Knows TypeScript",entailment
"Worked extensively with JavaScript in several projects.","Knows JavaScript",neutral
"Worked extensively with Express.js in several projects.","Knows Express.js",neutral
"Worked extensively with Selenium in several projects.","Knows Selenium",entailment
"Worked extensively with Metasploit in several projects.","Knows Metasploit",entailment
"Worked extensively with Airflow in several projects.","Has no knowledge of Airflow",contradiction
"Worked extensively with Kubernetes in several projects.","Knows Kubernetes",entailment
"Worked extensively with XGBoost in several projects.","Knows XGBoost",neutral
"Worked extensively with Sass in several projects.","Knows Sass",entailment
"Worked extensively with Angular in several projects.","Knows Angular",entailment
"Worked extensively with Metasploit in several projects.","Knows Metasploit",neutral
"Worked extensively with TensorFlow in several projects.","Knows TensorFlow",entailment
"Worked extensively with OAuth2 in several projects.","Has no knowledge of OAuth2",contradiction
"Worked extensively with Docker in several projects.","Knows Docker",entailment
"Worked extensively with Flutter in several projects.","Knows Flutter",entailment
"Worked extensively with Kafka in several projects.","Has no knowledge of Kafka",contradiction
"Worked extensively with Scikit-learn in several projects.","Knows Scikit-learn",neutral
"Worked extensively with FastAPI in several projects.","Knows FastAPI",neutral
"Worked extensively with Scikit-learn in several projects.","Knows Scikit-learn",neutral
"Worked extensively with TensorFlow in several projects.","Has no knowledge of TensorFlow",contradiction
"Worked extensively with OWASP ZAP in several projects.","Knows OWASP ZAP",entailment
"Worked extensively with TypeScript in several projects.","Has no knowledge of TypeScript",contradiction
"Worked extensively with Kafka in several projects.","Knows Kafka",entailment
"Worked extensively with Kubernetes in several projects.","Knows Kubernetes",neutral
"Worked extensively with Kubernetes in several projects.","Knows Kubernetes",neutral
"Worked extensively with Apache Spark in several projects.","Has no knowledge of Apache Spark",contradiction
"Worked extensively with Cypress in several projects.","Knows Cypress",entailment
"Worked extensively with Vue.js in several projects.","Has no knowledge of Vue.js",contradiction
"Worked extensively with Java in several projects.","Knows Java",neutral
"Worked extensively with TensorFlow in several projects.","Knows TensorFlow",entailment
"Worked extensively with Hadoop in several projects.","Knows Hadoop",entailment
"Worked extensively with Airflow in several projects.","Has no knowledge of Airflow",contradiction
"Worked extensively with XGBoost in several projects.","Knows XGBoost",neutral
"Worked extensively with OWASP ZAP in several projects.","Has no knowledge of OWASP ZAP",contradiction
